,Series Name,Period,Frequency,Value,Units
0,"Gulf Coast (PADD 3) Refinery and Blender Net Input of Crude Oil, Monthly",202103,M,7512,Thousand Barrels per Day
1,"Gulf Coast (PADD 3) Refinery and Blender Net Input of Crude Oil, Monthly",202102,M,6042,Thousand Barrels per Day
2,"Gulf Coast (PADD 3) Refinery and Blender Net Input of Crude Oil, Monthly",202101,M,7919,Thousand Barrels per Day
3,"Gulf Coast (PADD 3) Refinery and Blender Net Input of Crude Oil, Monthly",202012,M,7751,Thousand Barrels per Day
4,"Gulf Coast (PADD 3) Refinery and Blender Net Input of Crude Oil, Monthly",202011,M,7601,Thousand Barrels per Day
5,"Gulf Coast (PADD 3) Refinery and Blender Net Input of Crude Oil, Monthly",202010,M,7049,Thousand Barrels per Day
6,"Gulf Coast (PADD 3) Refinery and Blender Net Input of Crude Oil, Monthly",202009,M,7000,Thousand Barrels per Day
7,"Gulf Coast (PADD 3) Refinery and Blender Net Input of Crude Oil, Monthly",202008,M,7377,Thousand Barrels per Day
8,"Gulf Coast (PADD 3) Refinery and Blender Net Input of Crude Oil, Monthly",202007,M,7765,Thousand Barrels per Day
9,"Gulf Coast (PADD 3) Refinery and Blender Net Input of Crude Oil, Monthly",202006,M,7477,Thousand Barrels per Day
10,"Gulf Coast (PADD 3) Refinery and Blender Net Input of Crude Oil, Monthly",202005,M,7130,Thousand Barrels per Day
11,"Gulf Coast (PADD 3) Refinery and Blender Net Input of Crude Oil, Monthly",202004,M,7238,Thousand Barrels per Day
12,"Gulf Coast (PADD 3) Refinery and Blender Net Input of Crude Oil, Monthly",202003,M,8443,Thousand Barrels per Day
13,"Gulf Coast (PADD 3) Refinery and Blender Net Input of Crude Oil, Monthly",202002,M,8393,Thousand Barrels per Day
14,"Gulf Coast (PADD 3) Refinery and Blender Net Input of Crude Oil, Monthly",202001,M,8792,Thousand Barrels per Day
15,"Gulf Coast (PADD 3) Refinery and Blender Net Input of Crude Oil, Monthly",201912,M,9001,Thousand Barrels per Day
16,"Gulf Coast (PADD 3) Refinery and Blender Net Input of Crude Oil, Monthly",201911,M,8856,Thousand Barrels per Day
17,"Gulf Coast (PADD 3) Refinery and Blender Net Input of Crude Oil, Monthly",201910,M,8339,Thousand Barrels per Day
18,"Gulf Coast (PADD 3) Refinery and Blender Net Input of Crude Oil, Monthly",201909,M,8701,Thousand Barrels per Day
