,Series Name,Period,Frequency,Value,Units
51,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201612,M,602,Thousand Barrels per Day
52,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201611,M,626,Thousand Barrels per Day
53,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201610,M,592,Thousand Barrels per Day
54,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201609,M,644,Thousand Barrels per Day
55,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201608,M,612,Thousand Barrels per Day
56,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201607,M,631,Thousand Barrels per Day
57,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201606,M,647,Thousand Barrels per Day
58,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201605,M,575,Thousand Barrels per Day
59,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201604,M,514,Thousand Barrels per Day
60,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201603,M,583,Thousand Barrels per Day
61,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201602,M,575,Thousand Barrels per Day
62,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201601,M,575,Thousand Barrels per Day
63,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201512,M,600,Thousand Barrels per Day
64,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201511,M,604,Thousand Barrels per Day
65,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201510,M,605,Thousand Barrels per Day
66,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201509,M,601,Thousand Barrels per Day
67,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201508,M,619,Thousand Barrels per Day
68,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201507,M,624,Thousand Barrels per Day
69,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201506,M,615,Thousand Barrels per Day
70,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201505,M,601,Thousand Barrels per Day
71,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201504,M,599,Thousand Barrels per Day
72,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201503,M,565,Thousand Barrels per Day
73,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201502,M,615,Thousand Barrels per Day
74,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201501,M,577,Thousand Barrels per Day
75,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201412,M,607,Thousand Barrels per Day
76,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201411,M,612,Thousand Barrels per Day
77,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201410,M,559,Thousand Barrels per Day
78,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201409,M,626,Thousand Barrels per Day
79,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201408,M,638,Thousand Barrels per Day
80,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201407,M,569,Thousand Barrels per Day
81,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201406,M,557,Thousand Barrels per Day
82,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201405,M,594,Thousand Barrels per Day
83,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201404,M,562,Thousand Barrels per Day
84,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201403,M,567,Thousand Barrels per Day
85,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201402,M,510,Thousand Barrels per Day
86,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201401,M,569,Thousand Barrels per Day
87,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201312,M,574,Thousand Barrels per Day
88,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201311,M,580,Thousand Barrels per Day
89,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201310,M,574,Thousand Barrels per Day
90,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201309,M,587,Thousand Barrels per Day
91,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201308,M,615,Thousand Barrels per Day
92,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201307,M,584,Thousand Barrels per Day
93,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201306,M,587,Thousand Barrels per Day
94,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201305,M,541,Thousand Barrels per Day
95,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201304,M,562,Thousand Barrels per Day
96,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201303,M,582,Thousand Barrels per Day
97,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201302,M,575,Thousand Barrels per Day
98,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201301,M,578,Thousand Barrels per Day
99,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201212,M,601,Thousand Barrels per Day
100,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201211,M,565,Thousand Barrels per Day
101,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201210,M,528,Thousand Barrels per Day
102,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201209,M,562,Thousand Barrels per Day
103,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201208,M,601,Thousand Barrels per Day
104,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201207,M,606,Thousand Barrels per Day
105,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201206,M,612,Thousand Barrels per Day
106,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201205,M,537,Thousand Barrels per Day
107,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201204,M,528,Thousand Barrels per Day
108,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201203,M,573,Thousand Barrels per Day
109,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201202,M,581,Thousand Barrels per Day
110,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201201,M,577,Thousand Barrels per Day
111,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201112,M,562,Thousand Barrels per Day
112,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201111,M,567,Thousand Barrels per Day
113,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201110,M,559,Thousand Barrels per Day
114,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201109,M,504,Thousand Barrels per Day
115,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201108,M,551,Thousand Barrels per Day
116,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201107,M,547,Thousand Barrels per Day
117,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201106,M,576,Thousand Barrels per Day
118,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201105,M,567,Thousand Barrels per Day
119,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201104,M,494,Thousand Barrels per Day
120,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201103,M,533,Thousand Barrels per Day
121,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201102,M,553,Thousand Barrels per Day
122,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201101,M,525,Thousand Barrels per Day
123,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201012,M,527,Thousand Barrels per Day
124,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201011,M,548,Thousand Barrels per Day
125,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201010,M,536,Thousand Barrels per Day
126,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201009,M,595,Thousand Barrels per Day
127,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201008,M,543,Thousand Barrels per Day
128,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201007,M,572,Thousand Barrels per Day
129,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201006,M,572,Thousand Barrels per Day
130,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201005,M,527,Thousand Barrels per Day
131,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201004,M,537,Thousand Barrels per Day
132,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201003,M,488,Thousand Barrels per Day
133,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201002,M,520,Thousand Barrels per Day
134,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",201001,M,519,Thousand Barrels per Day
135,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200912,M,476,Thousand Barrels per Day
136,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200911,M,545,Thousand Barrels per Day
137,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200910,M,536,Thousand Barrels per Day
138,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200909,M,561,Thousand Barrels per Day
139,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200908,M,570,Thousand Barrels per Day
140,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200907,M,567,Thousand Barrels per Day
141,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200906,M,571,Thousand Barrels per Day
142,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200905,M,552,Thousand Barrels per Day
143,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200904,M,497,Thousand Barrels per Day
144,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200903,M,513,Thousand Barrels per Day
145,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200902,M,553,Thousand Barrels per Day
146,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200901,M,538,Thousand Barrels per Day
147,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200812,M,518,Thousand Barrels per Day
148,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200811,M,540,Thousand Barrels per Day
149,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200810,M,538,Thousand Barrels per Day
150,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200809,M,543,Thousand Barrels per Day
151,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200808,M,540,Thousand Barrels per Day
152,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200807,M,516,Thousand Barrels per Day
153,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200806,M,538,Thousand Barrels per Day
154,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200805,M,563,Thousand Barrels per Day
155,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200804,M,540,Thousand Barrels per Day
156,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200803,M,527,Thousand Barrels per Day
157,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200802,M,538,Thousand Barrels per Day
158,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200801,M,534,Thousand Barrels per Day
159,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200712,M,535,Thousand Barrels per Day
160,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200711,M,539,Thousand Barrels per Day
161,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200710,M,520,Thousand Barrels per Day
162,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200709,M,539,Thousand Barrels per Day
163,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200708,M,554,Thousand Barrels per Day
164,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200707,M,589,Thousand Barrels per Day
165,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200706,M,572,Thousand Barrels per Day
166,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200705,M,513,Thousand Barrels per Day
167,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200704,M,517,Thousand Barrels per Day
168,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200703,M,534,Thousand Barrels per Day
169,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200702,M,552,Thousand Barrels per Day
170,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200701,M,543,Thousand Barrels per Day
171,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200612,M,527,Thousand Barrels per Day
172,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200611,M,579,Thousand Barrels per Day
173,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200610,M,536,Thousand Barrels per Day
174,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200609,M,568,Thousand Barrels per Day
175,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200608,M,586,Thousand Barrels per Day
176,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200607,M,584,Thousand Barrels per Day
177,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200606,M,579,Thousand Barrels per Day
178,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200605,M,575,Thousand Barrels per Day
179,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200604,M,548,Thousand Barrels per Day
180,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200603,M,477,Thousand Barrels per Day
181,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200602,M,511,Thousand Barrels per Day
182,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200601,M,564,Thousand Barrels per Day
183,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200512,M,541,Thousand Barrels per Day
184,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200511,M,536,Thousand Barrels per Day
185,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200510,M,574,Thousand Barrels per Day
186,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200509,M,579,Thousand Barrels per Day
187,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200508,M,586,Thousand Barrels per Day
188,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200507,M,583,Thousand Barrels per Day
189,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200506,M,575,Thousand Barrels per Day
