,Series Name,Period,Frequency,Value,Units
0,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",202103,M,677,Thousand Barrels per Day
1,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",202102,M,592,Thousand Barrels per Day
2,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",202101,M,597,Thousand Barrels per Day
3,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",202012,M,592,Thousand Barrels per Day
4,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",202011,M,591,Thousand Barrels per Day
5,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",202010,M,570,Thousand Barrels per Day
6,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",202009,M,548,Thousand Barrels per Day
7,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",202008,M,599,Thousand Barrels per Day
8,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",202007,M,523,Thousand Barrels per Day
9,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",202006,M,606,Thousand Barrels per Day
10,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",202005,M,598,Thousand Barrels per Day
11,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",202004,M,527,Thousand Barrels per Day
12,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",202003,M,637,Thousand Barrels per Day
13,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",202002,M,689,Thousand Barrels per Day
14,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",202001,M,767,Thousand Barrels per Day
15,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201912,M,804,Thousand Barrels per Day
16,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201911,M,799,Thousand Barrels per Day
17,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201910,M,730,Thousand Barrels per Day
18,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201909,M,819,Thousand Barrels per Day
19,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201908,M,846,Thousand Barrels per Day
20,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201907,M,887,Thousand Barrels per Day
21,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201906,M,1035,Thousand Barrels per Day
22,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201905,M,1087,Thousand Barrels per Day
23,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201904,M,1029,Thousand Barrels per Day
24,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201903,M,913,Thousand Barrels per Day
25,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201902,M,776,Thousand Barrels per Day
26,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201901,M,1013,Thousand Barrels per Day
27,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201812,M,1048,Thousand Barrels per Day
28,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201811,M,1008,Thousand Barrels per Day
29,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201810,M,922,Thousand Barrels per Day
30,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201809,M,1003,Thousand Barrels per Day
31,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201808,M,1068,Thousand Barrels per Day
32,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201807,M,1139,Thousand Barrels per Day
33,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201806,M,1128,Thousand Barrels per Day
34,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201805,M,1157,Thousand Barrels per Day
35,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201804,M,1110,Thousand Barrels per Day
36,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201803,M,920,Thousand Barrels per Day
37,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201802,M,968,Thousand Barrels per Day
38,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201801,M,1068,Thousand Barrels per Day
39,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201712,M,1116,Thousand Barrels per Day
40,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201711,M,1160,Thousand Barrels per Day
41,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201710,M,1096,Thousand Barrels per Day
42,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201709,M,1106,Thousand Barrels per Day
43,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201708,M,1140,Thousand Barrels per Day
44,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201707,M,1078,Thousand Barrels per Day
45,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201706,M,1129,Thousand Barrels per Day
46,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201705,M,1111,Thousand Barrels per Day
47,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201704,M,1062,Thousand Barrels per Day
48,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201703,M,891,Thousand Barrels per Day
49,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201702,M,902,Thousand Barrels per Day
50,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201701,M,1050,Thousand Barrels per Day
51,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201612,M,1063,Thousand Barrels per Day
52,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201611,M,1118,Thousand Barrels per Day
53,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201610,M,1091,Thousand Barrels per Day
54,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201609,M,1108,Thousand Barrels per Day
55,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201608,M,1098,Thousand Barrels per Day
56,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201607,M,1061,Thousand Barrels per Day
57,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201606,M,1126,Thousand Barrels per Day
58,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201605,M,1184,Thousand Barrels per Day
59,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201604,M,1158,Thousand Barrels per Day
60,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201603,M,1061,Thousand Barrels per Day
61,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201602,M,1093,Thousand Barrels per Day
62,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201601,M,1137,Thousand Barrels per Day
63,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201512,M,1145,Thousand Barrels per Day
64,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201511,M,1201,Thousand Barrels per Day
65,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201510,M,1143,Thousand Barrels per Day
66,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201509,M,1072,Thousand Barrels per Day
67,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201508,M,1200,Thousand Barrels per Day
68,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201507,M,1181,Thousand Barrels per Day
69,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201506,M,1167,Thousand Barrels per Day
70,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201505,M,1162,Thousand Barrels per Day
71,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201504,M,1130,Thousand Barrels per Day
72,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201503,M,1078,Thousand Barrels per Day
73,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201502,M,871,Thousand Barrels per Day
74,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201501,M,1087,Thousand Barrels per Day
75,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201412,M,1080,Thousand Barrels per Day
76,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201411,M,1111,Thousand Barrels per Day
77,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201410,M,1131,Thousand Barrels per Day
78,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201409,M,1156,Thousand Barrels per Day
79,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201408,M,1082,Thousand Barrels per Day
80,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201407,M,1135,Thousand Barrels per Day
81,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201406,M,1179,Thousand Barrels per Day
82,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201405,M,1148,Thousand Barrels per Day
83,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201404,M,1073,Thousand Barrels per Day
84,"East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil, Monthly",201403,M,1014,Thousand Barrels per Day
