,Series Name,Period,Frequency,Value,Units
0,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",202103,M,3617,Thousand Barrels per Day
1,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",202102,M,3297,Thousand Barrels per Day
2,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",202101,M,3628,Thousand Barrels per Day
3,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",202012,M,3427,Thousand Barrels per Day
4,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",202011,M,3503,Thousand Barrels per Day
5,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",202010,M,3432,Thousand Barrels per Day
6,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",202009,M,3507,Thousand Barrels per Day
7,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",202008,M,3665,Thousand Barrels per Day
8,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",202007,M,3594,Thousand Barrels per Day
9,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",202006,M,3322,Thousand Barrels per Day
10,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",202005,M,3091,Thousand Barrels per Day
11,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",202004,M,2914,Thousand Barrels per Day
12,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",202003,M,3440,Thousand Barrels per Day
13,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",202002,M,3753,Thousand Barrels per Day
14,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",202001,M,3792,Thousand Barrels per Day
15,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201912,M,3927,Thousand Barrels per Day
16,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201911,M,3823,Thousand Barrels per Day
17,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201910,M,3653,Thousand Barrels per Day
18,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201909,M,3888,Thousand Barrels per Day
19,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201908,M,4106,Thousand Barrels per Day
20,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201907,M,4083,Thousand Barrels per Day
21,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201906,M,3917,Thousand Barrels per Day
22,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201905,M,3530,Thousand Barrels per Day
23,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201904,M,3743,Thousand Barrels per Day
24,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201903,M,3535,Thousand Barrels per Day
25,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201902,M,3527,Thousand Barrels per Day
26,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201901,M,3879,Thousand Barrels per Day
27,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201812,M,3931,Thousand Barrels per Day
28,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201811,M,3820,Thousand Barrels per Day
29,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201810,M,3240,Thousand Barrels per Day
30,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201809,M,3647,Thousand Barrels per Day
31,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201808,M,3995,Thousand Barrels per Day
32,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201807,M,3892,Thousand Barrels per Day
33,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201806,M,3979,Thousand Barrels per Day
