,Series Name,Period,Frequency,Value,Units
34,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201805,M,4045,Thousand Barrels per Day
35,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201804,M,3905,Thousand Barrels per Day
36,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201803,M,3706,Thousand Barrels per Day
37,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201802,M,3638,Thousand Barrels per Day
38,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201801,M,3736,Thousand Barrels per Day
39,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201712,M,3818,Thousand Barrels per Day
40,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201711,M,3735,Thousand Barrels per Day
41,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201710,M,3411,Thousand Barrels per Day
42,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201709,M,3699,Thousand Barrels per Day
43,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201708,M,3981,Thousand Barrels per Day
44,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201707,M,3859,Thousand Barrels per Day
45,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201706,M,3910,Thousand Barrels per Day
46,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201705,M,3819,Thousand Barrels per Day
47,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201704,M,3801,Thousand Barrels per Day
48,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201703,M,3698,Thousand Barrels per Day
49,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201702,M,3628,Thousand Barrels per Day
50,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201701,M,3722,Thousand Barrels per Day
51,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201612,M,3714,Thousand Barrels per Day
52,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201611,M,3674,Thousand Barrels per Day
53,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201610,M,3577,Thousand Barrels per Day
54,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201609,M,3624,Thousand Barrels per Day
55,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201608,M,3746,Thousand Barrels per Day
56,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201607,M,3723,Thousand Barrels per Day
57,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201606,M,3683,Thousand Barrels per Day
58,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201605,M,3607,Thousand Barrels per Day
59,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201604,M,3334,Thousand Barrels per Day
60,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201603,M,3409,Thousand Barrels per Day
61,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201602,M,3627,Thousand Barrels per Day
62,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201601,M,3724,Thousand Barrels per Day
63,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201512,M,3661,Thousand Barrels per Day
64,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201511,M,3553,Thousand Barrels per Day
65,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201510,M,3010,Thousand Barrels per Day
66,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201509,M,3483,Thousand Barrels per Day
67,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201508,M,3638,Thousand Barrels per Day
68,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201507,M,3815,Thousand Barrels per Day
69,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201506,M,3705,Thousand Barrels per Day
70,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201505,M,3674,Thousand Barrels per Day
71,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201504,M,3700,Thousand Barrels per Day
72,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201503,M,3513,Thousand Barrels per Day
73,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201502,M,3562,Thousand Barrels per Day
74,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201501,M,3429,Thousand Barrels per Day
75,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201412,M,3685,Thousand Barrels per Day
76,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201411,M,3466,Thousand Barrels per Day
77,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201410,M,3283,Thousand Barrels per Day
78,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201409,M,3571,Thousand Barrels per Day
79,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201408,M,3574,Thousand Barrels per Day
80,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201407,M,3717,Thousand Barrels per Day
81,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201406,M,3662,Thousand Barrels per Day
82,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201405,M,3594,Thousand Barrels per Day
83,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201404,M,3482,Thousand Barrels per Day
84,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201403,M,3219,Thousand Barrels per Day
85,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201402,M,3538,Thousand Barrels per Day
86,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201401,M,3485,Thousand Barrels per Day
87,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201312,M,3556,Thousand Barrels per Day
88,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201311,M,3569,Thousand Barrels per Day
89,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201310,M,3464,Thousand Barrels per Day
90,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201309,M,3416,Thousand Barrels per Day
91,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201308,M,3532,Thousand Barrels per Day
92,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201307,M,3574,Thousand Barrels per Day
93,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201306,M,3357,Thousand Barrels per Day
94,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201305,M,3137,Thousand Barrels per Day
95,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201304,M,3188,Thousand Barrels per Day
96,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201303,M,3270,Thousand Barrels per Day
97,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201302,M,3396,Thousand Barrels per Day
98,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201301,M,3405,Thousand Barrels per Day
99,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201212,M,3445,Thousand Barrels per Day
100,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201211,M,3319,Thousand Barrels per Day
101,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201210,M,3334,Thousand Barrels per Day
102,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201209,M,3372,Thousand Barrels per Day
103,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201208,M,3527,Thousand Barrels per Day
104,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201207,M,3499,Thousand Barrels per Day
105,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201206,M,3466,Thousand Barrels per Day
106,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201205,M,3481,Thousand Barrels per Day
107,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201204,M,3527,Thousand Barrels per Day
108,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201203,M,3376,Thousand Barrels per Day
109,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201202,M,3467,Thousand Barrels per Day
110,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201201,M,3492,Thousand Barrels per Day
111,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201112,M,3522,Thousand Barrels per Day
112,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201111,M,3422,Thousand Barrels per Day
113,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201110,M,3344,Thousand Barrels per Day
114,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201109,M,3459,Thousand Barrels per Day
115,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201108,M,3360,Thousand Barrels per Day
116,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201107,M,3478,Thousand Barrels per Day
117,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201106,M,3469,Thousand Barrels per Day
118,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201105,M,3309,Thousand Barrels per Day
119,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201104,M,3241,Thousand Barrels per Day
120,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201103,M,3241,Thousand Barrels per Day
121,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201102,M,3306,Thousand Barrels per Day
122,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201101,M,3306,Thousand Barrels per Day
123,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201012,M,3320,Thousand Barrels per Day
124,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201011,M,3244,Thousand Barrels per Day
125,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201010,M,3063,Thousand Barrels per Day
126,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201009,M,3312,Thousand Barrels per Day
127,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201008,M,3434,Thousand Barrels per Day
128,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201007,M,3457,Thousand Barrels per Day
129,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201006,M,3442,Thousand Barrels per Day
130,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201005,M,3410,Thousand Barrels per Day
131,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201004,M,3133,Thousand Barrels per Day
132,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201003,M,3084,Thousand Barrels per Day
133,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201002,M,3276,Thousand Barrels per Day
134,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",201001,M,3199,Thousand Barrels per Day
135,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200912,M,3152,Thousand Barrels per Day
136,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200911,M,3014,Thousand Barrels per Day
137,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200910,M,2968,Thousand Barrels per Day
138,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200909,M,3175,Thousand Barrels per Day
139,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200908,M,3168,Thousand Barrels per Day
140,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200907,M,3287,Thousand Barrels per Day
141,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200906,M,3298,Thousand Barrels per Day
142,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200905,M,3213,Thousand Barrels per Day
143,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200904,M,3108,Thousand Barrels per Day
144,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200903,M,2955,Thousand Barrels per Day
145,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200902,M,3165,Thousand Barrels per Day
146,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200901,M,3126,Thousand Barrels per Day
147,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200812,M,3130,Thousand Barrels per Day
148,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200811,M,3259,Thousand Barrels per Day
149,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200810,M,3191,Thousand Barrels per Day
150,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200809,M,3213,Thousand Barrels per Day
151,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200808,M,3251,Thousand Barrels per Day
152,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200807,M,3284,Thousand Barrels per Day
153,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200806,M,3359,Thousand Barrels per Day
154,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200805,M,3376,Thousand Barrels per Day
155,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200804,M,3248,Thousand Barrels per Day
156,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200803,M,2943,Thousand Barrels per Day
157,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200802,M,3188,Thousand Barrels per Day
158,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200801,M,3213,Thousand Barrels per Day
159,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200712,M,3224,Thousand Barrels per Day
160,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200711,M,3106,Thousand Barrels per Day
161,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200710,M,3063,Thousand Barrels per Day
162,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200709,M,3222,Thousand Barrels per Day
163,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200708,M,3308,Thousand Barrels per Day
164,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200707,M,3203,Thousand Barrels per Day
165,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200706,M,3237,Thousand Barrels per Day
166,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200705,M,3311,Thousand Barrels per Day
167,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200704,M,3309,Thousand Barrels per Day
168,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200703,M,3217,Thousand Barrels per Day
169,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200702,M,3219,Thousand Barrels per Day
170,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200701,M,3296,Thousand Barrels per Day
171,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200612,M,3300,Thousand Barrels per Day
172,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200611,M,3187,Thousand Barrels per Day
173,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200610,M,3148,Thousand Barrels per Day
174,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200609,M,3326,Thousand Barrels per Day
175,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200608,M,3456,Thousand Barrels per Day
176,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200607,M,3328,Thousand Barrels per Day
177,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200606,M,3457,Thousand Barrels per Day
178,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200605,M,3373,Thousand Barrels per Day
179,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200604,M,3252,Thousand Barrels per Day
180,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200603,M,3123,Thousand Barrels per Day
181,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200602,M,3232,Thousand Barrels per Day
182,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200601,M,3372,Thousand Barrels per Day
183,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200512,M,3270,Thousand Barrels per Day
184,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200511,M,3331,Thousand Barrels per Day
185,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200510,M,3304,Thousand Barrels per Day
186,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200509,M,3374,Thousand Barrels per Day
187,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200508,M,3283,Thousand Barrels per Day
188,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200507,M,3385,Thousand Barrels per Day
189,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200506,M,3444,Thousand Barrels per Day
190,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200505,M,3453,Thousand Barrels per Day
191,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200504,M,3223,Thousand Barrels per Day
192,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200503,M,2985,Thousand Barrels per Day
193,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200502,M,3221,Thousand Barrels per Day
194,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200501,M,3304,Thousand Barrels per Day
195,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200412,M,3355,Thousand Barrels per Day
196,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200411,M,3320,Thousand Barrels per Day
197,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200410,M,3264,Thousand Barrels per Day
198,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200409,M,3241,Thousand Barrels per Day
199,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200408,M,3380,Thousand Barrels per Day
200,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200407,M,3397,Thousand Barrels per Day
201,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200406,M,3482,Thousand Barrels per Day
202,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200405,M,3454,Thousand Barrels per Day
203,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200404,M,3276,Thousand Barrels per Day
204,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200403,M,2891,Thousand Barrels per Day
205,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200402,M,3222,Thousand Barrels per Day
206,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200401,M,3179,Thousand Barrels per Day
207,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200312,M,3052,Thousand Barrels per Day
208,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200311,M,3276,Thousand Barrels per Day
209,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200310,M,3142,Thousand Barrels per Day
210,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200309,M,3104,Thousand Barrels per Day
211,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200308,M,3305,Thousand Barrels per Day
212,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200307,M,3290,Thousand Barrels per Day
213,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200306,M,3429,Thousand Barrels per Day
214,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200305,M,3421,Thousand Barrels per Day
215,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200304,M,3211,Thousand Barrels per Day
216,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200303,M,3085,Thousand Barrels per Day
217,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200302,M,3107,Thousand Barrels per Day
218,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200301,M,3118,Thousand Barrels per Day
219,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200212,M,3057,Thousand Barrels per Day
220,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200211,M,3171,Thousand Barrels per Day
221,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200210,M,2943,Thousand Barrels per Day
222,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200209,M,3314,Thousand Barrels per Day
223,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200208,M,3376,Thousand Barrels per Day
224,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200207,M,3405,Thousand Barrels per Day
225,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200206,M,3438,Thousand Barrels per Day
226,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200205,M,3319,Thousand Barrels per Day
227,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200204,M,3345,Thousand Barrels per Day
228,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200203,M,2998,Thousand Barrels per Day
229,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200202,M,3101,Thousand Barrels per Day
230,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200201,M,3062,Thousand Barrels per Day
231,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200112,M,3134,Thousand Barrels per Day
232,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200111,M,3009,Thousand Barrels per Day
233,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200110,M,3134,Thousand Barrels per Day
234,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200109,M,3244,Thousand Barrels per Day
235,"Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil, Monthly",200108,M,3370,Thousand Barrels per Day
